det,MASS,PLURAL,SINGULAR_OR_MASS
00,0,1,0
000,0,1,0
01,0,0,1
1,0,0,1
10,0,1,0
100,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
14,0,1,0
15,0,1,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,1,0
2,0,1,0
20,0,1,0
200,0,1,0
2008,0,1,0
2010,0,1,0
2011,0,1,0
2012,0,1,0
2013,0,1,0
2014,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
27th,0,1,0
28,0,1,0
29,0,1,0
29.00,0,1,0
3,0,1,0
30,0,1,0
30.00,0,1,0
31,0,1,0
32,0,1,0
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,0
37,0,1,0
38,0,1,0
39,0,1,0
39.99,0,1,0
4,0,1,0
40,0,1,0
41,0,1,0
42,0,1,0
43,0,1,0
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
5,0,1,0
50,0,1,0
5000,0,1,0
55,0,1,0
6,0,1,0
60,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
9.0,0,1,0
99,0,1,0
a,0,0,1
all,0,1,1
an,0,0,1
another,0,0,1
any,1,1,1
both,0,1,0
each,0,0,1
eight,0,1,0
eighteen,0,1,0
either,0,0,1
eleven,0,1,0
every,0,0,1
fifteen,0,1,0
fifty,0,1,0
five,0,1,0
forty,0,1,0
four,0,1,0
fourteen,0,1,0
his/her,1,1,1
hundred,0,1,0
million,0,1,0
mult,0,1,0
neither,0,0,1
nine,0,1,0
nineteen,0,1,0
no,1,1,1
one,0,0,1
seven,0,1,0
seventeen,0,1,0
six,0,1,0
sixteen,0,1,0
sixty,0,1,0
some,1,1,1
ten,0,1,0
that,1,0,1
the,1,1,1
these,0,1,0
thirteen,0,1,0
thirty,0,1,0
this,1,0,1
those,0,1,0
three,0,1,0
twelve,0,1,0
twenty,0,1,0
twenty-four,0,1,0
twenty-six,0,1,0
twenty-two,0,1,0
two,0,1,0
what,1,1,1
whatever,1,1,1
which,0,1,1
whichever,0,1,1
