some,SINGULAR_OR_MASS,46494
the,SINGULAR_OR_MASS,2077195
nov25,SINGULAR_OR_MASS,1
10,SINGULAR_OR_MASS,4492
a,SINGULAR_OR_MASS,1571097
the,MASS,139116
sixteen,SINGULAR_OR_MASS,864
sixteen,PLURAL,12425
one,SINGULAR_OR_MASS,112666
seven,PLURAL,6923
35,PLURAL,2255
16,PLURAL,11852
1,SINGULAR_OR_MASS,21904
3,SINGULAR_OR_MASS,4901
each,MASS,1020
the,PLURAL,190073
six,PLURAL,8926
ten,SINGULAR_OR_MASS,2281
each,SINGULAR_OR_MASS,43500
42,PLURAL,678
a,MASS,41309
what,SINGULAR_OR_MASS,5874
this,SINGULAR_OR_MASS,241464
an,SINGULAR_OR_MASS,132406
which,SINGULAR_OR_MASS,5048
four,PLURAL,21117
28,PLURAL,2591
8,MASS,6950
every,SINGULAR_OR_MASS,113815
all,PLURAL,11533
all,SINGULAR_OR_MASS,23029
another,SINGULAR_OR_MASS,33119
33,PLURAL,1738
34,PLURAL,1448
59,PLURAL,160
26,PLURAL,2270
two,PLURAL,30975
23,PLURAL,2477
no,SINGULAR_OR_MASS,19936
five,PLURAL,24756
two,SINGULAR_OR_MASS,11990
three,PLURAL,29129
a,PLURAL,32544
000,SINGULAR_OR_MASS,1293
30,PLURAL,8752
thirty,PLURAL,5763
fifteen,SINGULAR_OR_MASS,469
36,PLURAL,1282
79.00,MASS,3
30.00,MASS,5
69.00,MASS,2
29.00,MASS,1
59.00,PLURAL,66
39.99,PLURAL,103
2,SINGULAR_OR_MASS,6229
four,SINGULAR_OR_MASS,2653
some,PLURAL,33364
1,MASS,4046
five,SINGULAR_OR_MASS,2607
ten,PLURAL,6415
41,PLURAL,539
that,MASS,1842
thirteen,PLURAL,794
forty,PLURAL,1989
nine,SINGULAR_OR_MASS,875
forty,SINGULAR_OR_MASS,506
30,MASS,6119
that,SINGULAR_OR_MASS,44100
42,SINGULAR_OR_MASS,200
7,SINGULAR_OR_MASS,2704
24,SINGULAR_OR_MASS,1342
7,MASS,3989
25,PLURAL,4234
12,PLURAL,1737
2,PLURAL,6279
48,SINGULAR_OR_MASS,142
2006,SINGULAR_OR_MASS,360
2006.i,SINGULAR_OR_MASS,5
2010,SINGULAR_OR_MASS,614
27th,SINGULAR_OR_MASS,1252
2000,SINGULAR_OR_MASS,284
2003,SINGULAR_OR_MASS,199
2002,SINGULAR_OR_MASS,160
2011,SINGULAR_OR_MASS,829
both,SINGULAR_OR_MASS,1452
6,SINGULAR_OR_MASS,2741
any,SINGULAR_OR_MASS,24812
some,MASS,15206
2005-2010,SINGULAR_OR_MASS,7
2010-current,SINGULAR_OR_MASS,1
2007-2009,SINGULAR_OR_MASS,4
1.each,SINGULAR_OR_MASS,229
21,PLURAL,1626
this,PLURAL,3978
29,SINGULAR_OR_MASS,1222
11,SINGULAR_OR_MASS,3436
thirty,SINGULAR_OR_MASS,1013
5,MASS,5765
6,MASS,6749
3,MASS,1221
twenty,PLURAL,3912
9,MASS,2741
27,PLURAL,2334
ten,MASS,664
both,PLURAL,873
5,SINGULAR_OR_MASS,3671
19,SINGULAR_OR_MASS,1140
tothe,SINGULAR_OR_MASS,3
1.in,SINGULAR_OR_MASS,3
20,PLURAL,5464
000.00,SINGULAR_OR_MASS,53
20,SINGULAR_OR_MASS,2575
37,PLURAL,1018
no.5,SINGULAR_OR_MASS,335
those,SINGULAR_OR_MASS,953
5,PLURAL,8534
.two,PLURAL,7
14,PLURAL,1413
3,PLURAL,10007
14,SINGULAR_OR_MASS,1229
o,MASS,5
30,SINGULAR_OR_MASS,3835
9.0-,SINGULAR_OR_MASS,28
27,SINGULAR_OR_MASS,1285
14th,SINGULAR_OR_MASS,174
50,PLURAL,1520
one,PLURAL,3915
twelve,SINGULAR_OR_MASS,786
eleven,SINGULAR_OR_MASS,526
43,SINGULAR_OR_MASS,184
34,SINGULAR_OR_MASS,384
this,MASS,6387
eight,PLURAL,3647
10,MASS,2728
one,MASS,1889
49509,MASS,1
23,SINGULAR_OR_MASS,1526
2012,SINGULAR_OR_MASS,1127
thirty,MASS,88
de,SINGULAR_OR_MASS,793
nine,PLURAL,2995
eleven,PLURAL,1032
13.i,SINGULAR_OR_MASS,6
any,PLURAL,1912
an,MASS,2696
22,MASS,98
40,PLURAL,1900
1.-,PLURAL,5
8,PLURAL,1813
both,MASS,262
30th.and,SINGULAR_OR_MASS,1
no,PLURAL,1434
7,PLURAL,2633
six,MASS,188
those,PLURAL,3210
12,MASS,999
11,MASS,1389
4,PLURAL,4173
1000,PLURAL,312
10-15,PLURAL,39
neither,SINGULAR_OR_MASS,121
10,PLURAL,7609
6,PLURAL,3260
18,PLURAL,2808
47,PLURAL,459
twenty-eight,PLURAL,260
25.99,SINGULAR_OR_MASS,23
35.99,SINGULAR_OR_MASS,10
2,MASS,1273
on.3,PLURAL,1
seven,SINGULAR_OR_MASS,960
9thd,SINGULAR_OR_MASS,1
46,PLURAL,431
46,SINGULAR_OR_MASS,135
these,SINGULAR_OR_MASS,3953
these,PLURAL,10903
three,SINGULAR_OR_MASS,4793
2.00,MASS,30
108,MASS,384
35,SINGULAR_OR_MASS,820
1111,SINGULAR_OR_MASS,4
32,PLURAL,1986
29,PLURAL,2111
26,SINGULAR_OR_MASS,1448
2011-03-25,SINGULAR_OR_MASS,1
30pm,MASS,23
1pm,SINGULAR_OR_MASS,346
1981,SINGULAR_OR_MASS,122
8,SINGULAR_OR_MASS,2847
9.0brown,SINGULAR_OR_MASS,2
99,SINGULAR_OR_MASS,1280
25,SINGULAR_OR_MASS,1961
twenty,SINGULAR_OR_MASS,776
9.0,SINGULAR_OR_MASS,1404
9.30am,SINGULAR_OR_MASS,220
56,PLURAL,243
an,PLURAL,948
187,PLURAL,3
156,PLURAL,1
2005-2006,SINGULAR_OR_MASS,40
50.000,MASS,2
1975,SINGULAR_OR_MASS,293
eighteen,SINGULAR_OR_MASS,233
fouty-six,PLURAL,3
ninetynine,PLURAL,1
4,MASS,974
twenty-nine,PLURAL,47
70,PLURAL,262
fiveteen,PLURAL,32
ninnety,PLURAL,1
12,SINGULAR_OR_MASS,2689
38,SINGULAR_OR_MASS,298
what,PLURAL,356
79.00,SINGULAR_OR_MASS,413
29.00,PLURAL,279
16,SINGULAR_OR_MASS,1938
no,MASS,2954
yours,SINGULAR_OR_MASS,3
98,SINGULAR_OR_MASS,18
33,SINGULAR_OR_MASS,369
53,SINGULAR_OR_MASS,86
219,SINGULAR_OR_MASS,1
35hair,SINGULAR_OR_MASS,11
99t-shirts,SINGULAR_OR_MASS,1
18,SINGULAR_OR_MASS,1639
99dresses,SINGULAR_OR_MASS,1
5-,PLURAL,2
13,PLURAL,1015
fifteen,PLURAL,1543
20th,SINGULAR_OR_MASS,101
36,SINGULAR_OR_MASS,329
three,MASS,147
19,MASS,97
16th,SINGULAR_OR_MASS,38
15,PLURAL,3834
1985,SINGULAR_OR_MASS,154
twenty-seven,PLURAL,413
9.99dollars,PLURAL,1
8.99,SINGULAR_OR_MASS,74
5000,PLURAL,539
n'1,SINGULAR_OR_MASS,4
n'3,SINGULAR_OR_MASS,1
all,MASS,2037
1/5,PLURAL,1
19,PLURAL,1420
31-,MASS,1
60,PLURAL,872
31,SINGULAR_OR_MASS,867
15,SINGULAR_OR_MASS,2426
1977,SINGULAR_OR_MASS,75
sixty,SINGULAR_OR_MASS,533
te,SINGULAR_OR_MASS,196
31,PLURAL,1643
sixty,PLURAL,975
31work,SINGULAR_OR_MASS,4
41,SINGULAR_OR_MASS,141
fatimah.im39,PLURAL,1
20s,SINGULAR_OR_MASS,2
thirty-six,PLURAL,92
35.00,SINGULAR_OR_MASS,11
55.00,SINGULAR_OR_MASS,4
45.00,SINGULAR_OR_MASS,7
43.00,SINGULAR_OR_MASS,1
33.00,SINGULAR_OR_MASS,1
33.00,PLURAL,1
56.00,PLURAL,1
15.00,SINGULAR_OR_MASS,33
13.00,SINGULAR_OR_MASS,6
22,SINGULAR_OR_MASS,1596
2008,SINGULAR_OR_MASS,504
2009.i,SINGULAR_OR_MASS,8
26.,SINGULAR_OR_MASS,2
65,SINGULAR_OR_MASS,102
108,SINGULAR_OR_MASS,129
8.00,MASS,180
9,PLURAL,952
2009,SINGULAR_OR_MASS,506
1.20,SINGULAR_OR_MASS,4
1.500,SINGULAR_OR_MASS,7
52,PLURAL,378
1997,SINGULAR_OR_MASS,96
every,PLURAL,3666
1990,SINGULAR_OR_MASS,107
19-,SINGULAR_OR_MASS,23
24-,SINGULAR_OR_MASS,18
69,SINGULAR_OR_MASS,133
72,SINGULAR_OR_MASS,32
47,SINGULAR_OR_MASS,123
1814,SINGULAR_OR_MASS,1
1929,SINGULAR_OR_MASS,6
that,PLURAL,931
220,SINGULAR_OR_MASS,6
342,SINGULAR_OR_MASS,2
300,SINGULAR_OR_MASS,143
twelve,PLURAL,1164
4,SINGULAR_OR_MASS,3127
09.00,MASS,9
10.00,MASS,118
twenty-six,PLURAL,2544
seventeen,SINGULAR_OR_MASS,179
nineteen,SINGULAR_OR_MASS,205
eight,MASS,120
nineteen,PLURAL,1108
any,MASS,2243
nineghteen,PLURAL,1
twenty-two,PLURAL,1701
20.00,PLURAL,21
45,PLURAL,1211
13,SINGULAR_OR_MASS,1714
99,PLURAL,374
17,SINGULAR_OR_MASS,1210
19rd,SINGULAR_OR_MASS,33
99black,SINGULAR_OR_MASS,50
17grey,SINGULAR_OR_MASS,1
65orange,SINGULAR_OR_MASS,1
17orange,SINGULAR_OR_MASS,1
45white,SINGULAR_OR_MASS,1
45black,SINGULAR_OR_MASS,1
45pink,PLURAL,2
26gray,SINGULAR_OR_MASS,1
08stone,SINGULAR_OR_MASS,1
08gray,SINGULAR_OR_MASS,1
40,SINGULAR_OR_MASS,637
100.00,SINGULAR_OR_MASS,8
60.00,SINGULAR_OR_MASS,8
10.00,PLURAL,22
six,SINGULAR_OR_MASS,1510
50,SINGULAR_OR_MASS,932
cola.20,SINGULAR_OR_MASS,1
eighty,PLURAL,179
9,SINGULAR_OR_MASS,2625
120,MASS,22
15.the,SINGULAR_OR_MASS,5
.the,SINGULAR_OR_MASS,489
each,PLURAL,764
5-6,PLURAL,24
19-30,SINGULAR_OR_MASS,130
1q84,SINGULAR_OR_MASS,6
1984.the,SINGULAR_OR_MASS,2
whatever,SINGULAR_OR_MASS,237
eighteen,PLURAL,1077
thursday.4,SINGULAR_OR_MASS,5
24,PLURAL,2526
9.the,SINGULAR_OR_MASS,11
1pmplace,SINGULAR_OR_MASS,27
50,MASS,276
17.06.11,SINGULAR_OR_MASS,1
5pm,SINGULAR_OR_MASS,145
thousand,PLURAL,383
11am,MASS,3
9am,SINGULAR_OR_MASS,20
3pm,SINGULAR_OR_MASS,12
eight,SINGULAR_OR_MASS,745
0.5,SINGULAR_OR_MASS,27
06,SINGULAR_OR_MASS,328
thirteen,SINGULAR_OR_MASS,489
at10,SINGULAR_OR_MASS,16
7pm,MASS,8
8am,SINGULAR_OR_MASS,112
30am,SINGULAR_OR_MASS,285
69,PLURAL,51
73,PLURAL,36
