det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,250,342,3747,4339
a,74,58,2834,2966
this,11,7,435,453
an,4,1,238,243
one,3,7,203,213
every,0,6,205,211
some,27,60,83,170
that,3,1,79,83
each,1,1,78,80
two,0,55,21,76
all,3,20,41,64
another,0,2,59,61
three,0,52,8,60
any,4,3,44,51
five,0,44,4,48
1,7,1,39,47
no,5,2,35,42
four,0,38,4,42
30,11,15,6,32
5,10,15,6,31
3,2,18,8,28
these,0,19,7,26
10,4,13,8,25
16,0,21,3,24
2,2,11,11,24
sixteen,0,22,1,23
6,12,5,4,21
8,12,3,5,20
six,0,16,2,18
ten,1,11,4,16
7,7,4,4,15
20,0,9,4,13
4,1,7,5,13
seven,0,12,1,13
15,1,6,4,11
thirty,0,10,1,11
what,0,0,10,10
2013,0,0,11,11
25,0,7,3,10
9,4,1,4,9
11,2,1,6,9
which,0,0,9,9
12,1,3,4,8
twenty,0,7,1,8
18,0,5,2,7
eight,0,6,1,7
those,0,5,1,6
23,0,4,2,6
28,0,4,2,6
nine,0,5,1,6
24,0,4,2,6
22,0,3,2,5
26,0,4,2,6
27,0,4,2,6
29,0,3,2,5
35,0,4,1,5
21,0,2,2,4
13,0,1,3,4
40,0,3,1,4
2014,0,0,4,4
14,0,2,2,4
50,0,2,1,3
fifty,0,3,1,4
19,0,2,2,4
twenty-six,0,4,0,4
both,0,1,2,3
17,0,2,2,4
31,0,2,1,3
forty,0,3,0,3
32,0,3,0,3
45,0,2,0,2
33,0,3,0,3
twenty-four,0,3,0,3
fifteen,0,2,0,2
twelve,0,2,1,3
000,0,1,2,3
34,0,2,0,2
99,0,0,2,2
twenty-two,0,3,0,3
eleven,0,1,0,1
36,0,2,0,2
sixty,0,1,0,1
9.0,0,0,2,2
38,0,1,0,1
eighteen,0,1,0,1
nineteen,0,1,0,1
thirteen,0,1,0,1
60,0,1,0,1
27th,0,0,2,2
37,0,1,0,1
2012,0,0,2,2
00,1,0,0,1
39,0,1,0,1
100,0,1,0,1
million,0,0,1,1
seventeen,0,1,0,1
fourteen,0,1,0,1
42,0,1,0,1
2011,0,0,1,1
43,0,1,0,1
39.99,0,0,1,1
2010,0,0,1,1
30.00,0,0,1,1
01,0,0,1,1
