det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,17,23,258,298
a,7,5,286,298
this,7,4,287,298
an,5,2,291,298
one,4,9,285,298
every,1,9,289,299
some,47,105,146,298
that,11,5,282,298
each,6,5,288,299
two,3,213,82,298
all,16,94,188,298
another,4,10,285,299
three,1,256,42,299
any,23,19,256,298
five,1,269,28,298
1,45,6,247,298
no,36,17,245,298
four,1,265,33,299
30,98,140,61,299
5,96,142,61,299
3,22,186,91,299
these,8,214,77,299
10,55,153,90,298
16,1,256,41,298
2,27,136,135,298
sixteen,0,280,19,299
6,158,76,64,298
8,179,46,73,298
six,5,252,42,299
ten,21,205,73,299
7,128,84,86,298
20,18,191,90,299
4,35,151,113,299
seven,5,258,35,298
15,30,165,104,299
thirty,3,251,44,298
what,12,16,271,299
2013,9,2,287,298
25,6,200,93,299
9,130,45,124,299
11,73,44,181,298
which,15,15,268,298
12,55,96,148,299
twenty,2,248,49,299
18,9,183,107,299
eight,7,242,49,298
those,8,225,66,299
23,6,181,112,299
28,2,195,102,299
nine,7,226,66,299
24,2,194,103,299
22,7,165,127,299
26,2,181,115,298
27,1,192,106,299
29,2,188,109,299
35,8,213,77,298
21,7,162,129,298
13,9,107,182,298
40,29,202,67,298
2014,9,3,286,298
14,10,155,134,299
50,30,167,102,299
fifty,1,216,82,299
19,10,160,128,298
twenty-six,0,292,7,299
both,30,101,168,299
17,8,150,140,298
31,2,194,102,298
forty,1,237,60,298
32,2,241,56,299
45,64,170,65,299
33,1,246,52,299
twenty-four,0,297,2,299
fifteen,1,228,69,298
twelve,3,177,119,299
000,12,90,197,299
34,1,235,62,298
99,17,63,218,298
twenty-two,0,294,5,299
eleven,16,188,95,299
36,3,236,60,299
sixty,1,193,105,299
9.0,1,8,290,299
38,3,232,63,298
eighteen,1,245,53,299
nineteen,0,252,46,298
thirteen,0,185,114,299
60,16,204,78,298
27th,1,0,297,298
37,1,249,49,299
2012,11,7,281,299
00,250,5,43,298
39,3,226,69,298
100,17,189,93,299
million,9,135,154,298
seventeen,0,250,49,299
fourteen,0,221,78,299
42,7,226,66,299
2011,13,7,279,299
43,1,232,66,299
29.00,0,114,185,299
39.99,0,44,254,298
hundred,18,207,74,299
41,0,237,62,299
55,13,198,87,298
2010,14,3,282,299
30.00,2,10,287,299
01,15,4,279,298
48,3,225,70,298
47,2,234,62,298
46,7,222,69,298
5000,6,281,11,298
200,22,105,171,298
2008,8,19,271,298
