det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL  Restricted to determiners common to both corpora
the,119357,110609,1805536,2035502
each,314,78,32225,32617
both,235,1097,1514,2846
every,67,878,12991,13936
an,2918,353,160520,163791
all,2273,10386,10245,22904
those,34,5114,447,5595
what,664,521,5763,6948
which,318,274,4197,4789
this,13477,974,292730,307181
these,91,12200,1291,13582
another,108,219,17896,18223
that,2804,445,43169,46418
no,3603,1880,36751,42234
any,10431,4224,62957,77612
a,19047,6451,859466,884964
some,5279,6291,23716,35286
