an,SINGULAR_OR_MASS,2509
a,SINGULAR_OR_MASS,13473
the,SINGULAR_OR_MASS,30217
the,PLURAL,1566
a,MASS,344
a,PLURAL,76
the,MASS,2116
that,PLURAL,4
these,PLURAL,120
this,SINGULAR_OR_MASS,1464
an,MASS,72
that,SINGULAR_OR_MASS,364
all,SINGULAR_OR_MASS,77
all,PLURAL,90
every,SINGULAR_OR_MASS,163
any,SINGULAR_OR_MASS,313
no,SINGULAR_OR_MASS,299
both,SINGULAR_OR_MASS,28
some,SINGULAR_OR_MASS,147
either,SINGULAR_OR_MASS,6
another,SINGULAR_OR_MASS,305
some,PLURAL,57
each,SINGULAR_OR_MASS,248
both,PLURAL,14
an,PLURAL,12
no,MASS,39
both,MASS,6
this,MASS,40
that,MASS,7
any,PLURAL,17
all,MASS,19
which,SINGULAR_OR_MASS,42
th,PLURAL,1
no,PLURAL,16
some,MASS,27
this,PLURAL,7
what,PLURAL,1
neither,SINGULAR_OR_MASS,6
another,MASS,6
th,SINGULAR_OR_MASS,14
another,PLURAL,4
those,SINGULAR_OR_MASS,7
any,MASS,17
every,PLURAL,14
whatever,SINGULAR_OR_MASS,3
these,SINGULAR_OR_MASS,9
each,PLURAL,3
those,PLURAL,21
half,SINGULAR_OR_MASS,4
which,PLURAL,3
each,MASS,4
what,SINGULAR_OR_MASS,4
neither,MASS,1
either,PLURAL,1
half,PLURAL,1
which,MASS,2
la,SINGULAR_OR_MASS,1
